uri,text,language,created_at,author_handle,author_display_name,external_link
at://did:plc:6rfrkbskuhca3s7tt3epc2gw/app.bsky.feed.post/3loud4urye42n,"Better to kill Acne Vulgaris with its Red Tones! Clarify #pimples, #tzone and #oilyskin! Create smooth, attractive complexion in a few days! No Gimmicks in this #Skincare Routine for all #Acne!

https://secretofaging.com/shop/ultimate-prolific-acne-recipe/",,2025-05-11T01:39:35Z,secretofaging.bsky.social,Secret of Aging,
at://did:plc:3cciokwlz62gnofwesrkhna2/app.bsky.feed.post/3loud4sw4jc27,Like..cumming on a face is always happening in real life,en,2025-05-11T01:39:34.978Z,altcadian.bsky.social,,
at://did:plc:67tfevami2hgkzzaohoitt76/app.bsky.feed.post/3loud4sshdc27,"I legit wonder if this isn't deliberate from higher up, a slow destabilization/weakening of America's military supremacy.",en,2025-05-11T01:39:34.858Z,habitrenadoods.bsky.social,,
at://did:plc:fbgxuallfgjhyeuyissqh54x/app.bsky.feed.post/3loud4spya22x,Not a damn thing for the working class of this nation.,en,2025-05-11T01:39:34.777Z,growbagman.bsky.social,Robert,
at://did:plc:ze3omkou4i7ig2d7obqaz4gb/app.bsky.feed.post/3loud4spud22u,"Personally I would be ok with them wearing a medical mask (as Covid and measles are both around) as long as they visibly wore an ID badge with their maskless photo, and would show ID when requested",en,2025-05-11T01:39:34.764Z,lyyved.bsky.social,,
at://did:plc:nxcwzayd3vrer4ms3cefq3ns/app.bsky.feed.post/3loud4sk6ok2d,We’re really going to do a deep dive on individual leashing practices aren’t we?,en,2025-05-11T01:39:34.587Z,voodoo54.bsky.social,,
at://did:plc:5zgat4icq3leigplqscwthj7/app.bsky.feed.post/3loud4sirr22m,What a mockery.,en,2025-05-11T01:39:34.541Z,olliesplace2.bsky.social,,
at://did:plc:zciudzkcxipilc62nideamas/app.bsky.feed.post/3loud4sgflk2z,"By the way, I don’t actually have a copy of Potty of Greed. If anyone wants to help a pup out, it’d be much appreciated 😅",en,2025-05-11T01:39:34.463Z,s-c-rebel.bsky.social,"Rebel 🔜 AC, BFC, MFF & more?!",
at://did:plc:hhgnfye3kwqfxzixbr2syywc/app.bsky.feed.post/3loud4sf6jk2i,"Oh man, I'm sorry that you came to have it in such a sad way.",en,2025-05-11T01:39:34.423Z,76shades.bsky.social,,
at://did:plc:j4t5orr3lrg7wp56emfdwfel/app.bsky.feed.post/3loud4sepus2p,"siiim, sempre fico escolhendo tbm e não levo nada. Algumas de plástico são bem ruinzinhas mesmo 😔 ainda mais se tem bastante cabelo, elas acabam quebrando.
A de ferro é um tico mais cara, mas compensa kkk",pt,2025-05-11T01:39:34.407Z,visceralcherry.bsky.social,𖧁୧Dani Sunও,
at://did:plc:35773ythvujjusivg42q6wqu/app.bsky.feed.post/3loud4schmc2e,or are you just fucking a fleshlight that’s inside of a bong? is there a difference do you think think there is some transitive property shit going on in this scenario???,en,2025-05-11T01:39:34.334Z,froggher.bsky.social,froggher,
at://did:plc:uoialjpx36jpu3dlrrwkkyau/app.bsky.feed.post/3loud4s5hhc22,"Some have and some haven't. 
Mines been neutral? 🤷‍♀️
I had a rough night yesterday heh but other than that, been enjoying myself. Wish you made it kinda because there is so many birds here 😭",en,2025-05-11T01:39:34.169Z,stargazingshep.bsky.social,⭐ STARSHEP ⭐ 🔜 FWA,
at://did:plc:3tpu6sjb57ipwtsqiyi7f67f/app.bsky.feed.post/3loud4s5hhc2b,"It took me 5 whole years
But it finally paid off
A new chapter in my life now starts
Thank you ❤️❤️‍🔥✊

丸5年かかりました

しかし、それは最終的に報われた

私の人生の新しい章が今始まります

ありがとうございます❤️❤️‍🔥✊",en,2025-05-11T01:39:34.155Z,rafa-puro.bsky.social,Rafa,
at://did:plc:3uafxsejqrdcfoctqui6tvzo/app.bsky.feed.post/3loud4s6ats27,"Honestly, it’s very possible I was just more aware of these problems because it’s not Lego. I think especially at the scale these sets are (and the price!), it’s not really a problem. 

Would def recommend if you like Sanrio or Friends-style sets!",en,2025-05-11T01:39:34.117Z,baronesszen.bsky.social,Baroness Zen,
at://did:plc:3uafxsejqrdcfoctqui6tvzo/app.bsky.feed.post/3loud4s3sps27,"Elephant in the room; Plastic quality is slightly worse. Hard for me to notice usually but def has a different feel. While building Keroppi Mart, I could tell things were bending or not aligning right. 

Can see where plastic was injected. Excess paint/plastic. Happens with Lego too but not as often",en,2025-05-11T01:39:34.116Z,baronesszen.bsky.social,Baroness Zen,
